Entity ID,Friendly Name,State,Unit,Device Class,State Class,Icon,Last Updated,Last Changed,Domain,Integration,Restored,Supported Features
sensor.file_editor_version,File editor Version,5.8.0,N/A,N/A,N/A,N/A,2025-09-01T09:38:48.086759+00:00,2025-09-01T09:38:48.086759+00:00,sensor,N/A,False,N/A
sensor.file_editor_newest_version,File editor Newest version,5.8.0,N/A,N/A,N/A,N/A,2025-09-01T09:38:48.087339+00:00,2025-09-01T09:38:48.087339+00:00,sensor,N/A,False,N/A
sensor.file_editor_cpu_percent,File editor CPU percent,0.02,%,N/A,measurement,N/A,2025-09-01T11:15:20.938046+00:00,2025-09-01T11:15:20.938046+00:00,sensor,N/A,False,N/A
sensor.file_editor_memory_percent,File editor Memory percent,0.48,%,N/A,measurement,N/A,2025-09-01T11:15:20.938501+00:00,2025-09-01T11:15:20.938501+00:00,sensor,N/A,False,N/A
sensor.advanced_ssh_web_terminal_version,Advanced SSH & Web Terminal Version,21.0.2,N/A,N/A,N/A,N/A,2025-09-01T09:38:48.089389+00:00,2025-09-01T09:38:48.089389+00:00,sensor,N/A,False,N/A
sensor.advanced_ssh_web_terminal_newest_version,Advanced SSH & Web Terminal Newest version,21.0.2,N/A,N/A,N/A,N/A,2025-09-01T09:38:48.089834+00:00,2025-09-01T09:38:48.089834+00:00,sensor,N/A,False,N/A
sensor.advanced_ssh_web_terminal_cpu_percent,Advanced SSH & Web Terminal CPU percent,unavailable,%,N/A,measurement,N/A,2025-09-01T09:38:48.090261+00:00,2025-09-01T09:38:48.090261+00:00,sensor,N/A,False,N/A
sensor.advanced_ssh_web_terminal_memory_percent,Advanced SSH & Web Terminal Memory percent,unavailable,%,N/A,measurement,N/A,2025-09-01T09:38:48.090687+00:00,2025-09-01T09:38:48.090687+00:00,sensor,N/A,False,N/A
sensor.studio_code_server_version,Studio Code Server Version,5.19.3,N/A,N/A,N/A,N/A,2025-09-01T09:38:48.091149+00:00,2025-09-01T09:38:48.091149+00:00,sensor,N/A,False,N/A
sensor.studio_code_server_newest_version,Studio Code Server Newest version,5.19.3,N/A,N/A,N/A,N/A,2025-09-01T09:38:48.091585+00:00,2025-09-01T09:38:48.091585+00:00,sensor,N/A,False,N/A
sensor.studio_code_server_cpu_percent,Studio Code Server CPU percent,0.91,%,N/A,measurement,N/A,2025-09-01T11:15:20.939281+00:00,2025-09-01T11:15:20.939281+00:00,sensor,N/A,False,N/A
sensor.studio_code_server_memory_percent,Studio Code Server Memory percent,13.42,%,N/A,measurement,N/A,2025-09-01T11:15:20.939527+00:00,2025-09-01T11:15:20.939527+00:00,sensor,N/A,False,N/A
sensor.terminal_ssh_version,Terminal & SSH Version,9.19.0,N/A,N/A,N/A,N/A,2025-09-01T09:38:48.092846+00:00,2025-09-01T09:38:48.092846+00:00,sensor,N/A,False,N/A
sensor.terminal_ssh_newest_version,Terminal & SSH Newest version,9.19.0,N/A,N/A,N/A,N/A,2025-09-01T09:38:48.093238+00:00,2025-09-01T09:38:48.093238+00:00,sensor,N/A,False,N/A
sensor.terminal_ssh_cpu_percent,Terminal & SSH CPU percent,0.0,%,N/A,measurement,N/A,2025-09-01T09:39:04.681175+00:00,2025-09-01T09:39:04.681175+00:00,sensor,N/A,False,N/A
sensor.terminal_ssh_memory_percent,Terminal & SSH Memory percent,0.43,%,N/A,measurement,N/A,2025-09-01T11:15:20.940065+00:00,2025-09-01T11:15:20.940065+00:00,sensor,N/A,False,N/A
sensor.home_assistant_core_cpu_percent,Home Assistant Core CPU percent,1.87,%,N/A,measurement,N/A,2025-09-01T11:15:20.940334+00:00,2025-09-01T11:15:20.940334+00:00,sensor,N/A,False,N/A
sensor.home_assistant_core_memory_percent,Home Assistant Core Memory percent,4.65,%,N/A,measurement,N/A,2025-09-01T11:15:20.940608+00:00,2025-09-01T11:15:20.940608+00:00,sensor,N/A,False,N/A
sensor.home_assistant_supervisor_cpu_percent,Home Assistant Supervisor CPU percent,0.13,%,N/A,measurement,N/A,2025-09-01T11:15:20.940880+00:00,2025-09-01T11:15:20.940880+00:00,sensor,N/A,False,N/A
sensor.home_assistant_supervisor_memory_percent,Home Assistant Supervisor Memory percent,2.24,%,N/A,measurement,N/A,2025-09-01T11:15:20.941119+00:00,2025-09-01T11:15:20.941119+00:00,sensor,N/A,False,N/A
sensor.home_assistant_host_os_agent_version,Home Assistant Host OS Agent version,1.7.2,N/A,N/A,N/A,N/A,2025-09-01T09:38:48.097334+00:00,2025-09-01T09:38:48.097334+00:00,sensor,N/A,False,N/A
sensor.home_assistant_host_apparmor_version,Home Assistant Host AppArmor version,3.1.7,N/A,N/A,N/A,N/A,2025-09-01T09:38:48.097774+00:00,2025-09-01T09:38:48.097774+00:00,sensor,N/A,False,N/A
sensor.home_assistant_host_disk_total,Home Assistant Host Disk total,109.3,GB,data_size,N/A,N/A,2025-09-01T09:38:48.098347+00:00,2025-09-01T09:38:48.098347+00:00,sensor,N/A,False,N/A
sensor.home_assistant_host_disk_used,Home Assistant Host Disk used,7.5,GB,data_size,N/A,N/A,2025-09-01T09:38:48.098918+00:00,2025-09-01T09:38:48.098918+00:00,sensor,N/A,False,N/A
sensor.home_assistant_host_disk_free,Home Assistant Host Disk free,97.4,GB,data_size,N/A,N/A,2025-09-01T09:38:48.099420+00:00,2025-09-01T09:38:48.099420+00:00,sensor,N/A,False,N/A
