current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,restored,state,temperature,unit_of_measurement
,,conversation,conversation.home_assistant,Home Assistant,,,,,unknown,,
,,switch,switch.get_hacs,Get HACS,,,,,off,,
,,switch,switch.file_editor,File editor,,,,,on,,
,,switch,switch.matter_server,Matter Server,,,,,on,,
,,switch,switch.samba_share,Samba share,,,,,on,,
,,switch,switch.terminal_ssh,Terminal & SSH,,,,,on,,
,,switch,switch.vlc,VLC,,,,,on,,
,,switch,switch.adguard_home,AdGuard Home,,,,,on,,
,,switch,switch.appdaemon,AppDaemon,,,,,on,,
,,switch,switch.grafana,Grafana,,,,,on,,
,,switch,switch.influxdb,InfluxDB,,,,,on,,
,,switch,switch.log_viewer,Log Viewer,,,,,on,,
,,switch,switch.motioneye,motionEye,,,,,on,,
,,switch,switch.mqtt_io,MQTT IO,,,,,off,,
,,switch,switch.node_red,Node-RED,,,,,on,,
,,switch,switch.sabnzbd,SABnzbd,,,,,on,,
,,switch,switch.spotify_connect,Spotify Connect,,,,,on,,
,,switch,switch.studio_code_server,Studio Code Server,,,,,on,,
,,switch,switch.mosquitto_broker,Mosquitto broker,,,,,on,,
,,switch,switch.tailscale,Tailscale,,,,,on,,
,,switch,switch.tor,Tor,,,,,on,,
,,switch,switch.vaultwarden_bitwarden,Vaultwarden (Bitwarden),,,,,off,,
,,switch,switch.uptime_kuma,Uptime Kuma,,,,,on,,
,,switch,switch.zerotier_one,ZeroTier One,,,,,on,,
,,switch,switch.traccar,Traccar,,,,,off,,
,,switch,switch.music_assistant_server,Music Assistant Server,,,,,on,,
,,switch,switch.nginx_proxy_manager,Nginx Proxy Manager,,,,,on,,
,,switch,switch.jupyterlab,JupyterLab,,,,,on,,
,,switch,switch.sqlite_web,SQLite Web,,,,,on,,
,,update,update.home_assistant_supervisor_update,Home Assistant Supervisor Update,,,,,off,,
,,update,update.home_assistant_core_update,Home Assistant Core Update,,,,,off,,
,,update,update.get_hacs_update,Get HACS Update,,,,,off,,
,,update,update.file_editor_update,File editor Update,,,,,off,,
,,update,update.matter_server_update,Matter Server Update,,,,,off,,
,,update,update.samba_share_update,Samba share Update,,,,,off,,
,,update,update.terminal_ssh_update,Terminal & SSH Update,,,,,off,,
,,update,update.vlc_update,VLC Update,,,,,off,,
,,update,update.adguard_home_update,AdGuard Home Update,,,,,off,,
,,update,update.appdaemon_update,AppDaemon Update,,,,,off,,
,,update,update.grafana_update,Grafana Update,,,,,off,,
,,update,update.influxdb_update,InfluxDB Update,,,,,off,,
