attr_Area,attr_Area Name,attr_Count,attr_Currently Loadshedding,attr_Drive,attr_Limit,attr_Model,attr_Region,attr_Remaining,attr_Serial #,attr_Time Updated,attr_Type,attr_access_token,attr_achievement_percentage,attr_addon_updates,attr_addr,attr_all_day,attr_all_tasks,attr_apparent_temperature,attr_arch,attr_attribution,attr_auto_update,attr_available_excess_power,attr_azimuth,attr_backup_stage,attr_battery_level,attr_bodies,attr_brand,attr_calm_percentage,attr_cloud_area_fraction,attr_cloud_area_fraction_high,attr_cloud_area_fraction_low,attr_cloud_area_fraction_medium,attr_cloud_coverage,attr_cloudcover_percentage,attr_cloudless_percentage,attr_comets,attr_condition_percentage,attr_condition_plain,attr_cpu_contribution,attr_cpu_percent,attr_critical_battery,attr_current,attr_current_solar_power,attr_current_temperature,attr_date,attr_datetime,attr_deep_sky_darkness,attr_deepsky_forecast_today_dayname,attr_deepsky_forecast_today_desc,attr_deepsky_forecast_today_plain,attr_deepsky_forecast_today_precipitation_amount6,attr_deepsky_forecast_tomorrow_dayname,attr_deepsky_forecast_tomorrow_desc,attr_deepsky_forecast_tomorrow_plain,attr_deepsky_forecast_tomorrow_precipitation_amount6,attr_description,attr_detailed_status,attr_device_class,attr_device_power_consumption,attr_device_status,attr_device_trackers,attr_devices,attr_dew_point,attr_dewpoint,attr_difference_kwh,attr_disk_contribution,attr_display_precision,attr_due_today,attr_editable,attr_elevation,attr_end_time,attr_entities_processed,attr_entities_processed_count,attr_entity_id,attr_entity_picture,attr_estimated_value_zar,attr_event_type,attr_event_types,attr_failed_reason,attr_flights,attr_fog2m_area_fraction,attr_fog_area_fraction,attr_friendly_name,attr_friendly_summary,attr_ghz_advertised,attr_has_critical_updates,attr_has_date,attr_has_time,attr_host_name,attr_hour,attr_humidity,attr_hvac_modes,attr_icon,attr_id,attr_in_progress,attr_initial,attr_installed_version,attr_ip,attr_issues,attr_labels,attr_last_attempted_update,attr_last_checked,attr_last_error_message,attr_last_error_timestamp,attr_last_period,attr_last_reset,attr_last_scan,attr_last_time_reachable,attr_last_triggered,attr_last_update,attr_last_update_successful,attr_last_updated,attr_last_valid_state,attr_latest_version,attr_latitude,attr_lifted_index,attr_location,attr_location_name,attr_longitude,attr_low_battery,attr_mac,attr_max,attr_max_temp,attr_media_content_type,attr_memory_contribution,attr_memory_percent,attr_message,attr_min,attr_min_temp,attr_minute,attr_mode,attr_moon_icon,attr_moon_next_dark_night,attr_moon_next_full_moon,attr_moon_next_new_moon,attr_moon_next_rising,attr_moon_next_setting,attr_moon_phase,attr_next_date,attr_next_dawn,attr_next_dusk,attr_next_midnight,attr_next_noon,attr_next_reset,attr_next_rising,attr_next_setting,attr_night_duration_astronomical,attr_objects,attr_operating_hours,attr_options,attr_order,attr_overdue,attr_passive,attr_pattern,attr_persons,attr_power_consumption_end,attr_power_consumption_start,attr_precipitation_amount,attr_precipitation_unit,attr_pressure,attr_pressure_unit,attr_priority,attr_provider,attr_pv1_production,attr_pv1_today,attr_pv1_total,attr_pv2_production,attr_pv2_today,attr_pv2_total,attr_radius,attr_rating,attr_reason,attr_release_summary,attr_release_url,attr_restored,attr_rising,attr_second,attr_seeing,attr_seeing_percentage,attr_server_city,attr_server_code,attr_server_region,attr_skipped_version,attr_source,attr_source_type,attr_start_time,attr_state_class,attr_status,attr_status_color,attr_step,attr_suggestions,attr_sun_next_rising,attr_sun_next_rising_astro,attr_sun_next_rising_nautical,attr_sun_next_setting,attr_sun_next_setting_astro,attr_sun_next_setting_nautical,attr_supported_features,attr_target,attr_target_status,attr_target_temp_step,attr_temp_max,attr_temp_min,attr_temperature,attr_temperature_unit,attr_threshold_off,attr_threshold_on,attr_time_shift,attr_timestamp,attr_title,attr_total_devices,attr_total_updates,attr_transparency,attr_transparency_percentage,attr_unit_of_measurement,attr_update_percentage,attr_update_type,attr_updates_list,attr_user_id,attr_uv_index,attr_visibility,attr_visibility_unit,attr_volume_level,attr_weeks_remaining,attr_wind_bearing,attr_wind_gust_speed,attr_wind_speed,attr_wind_speed_unit,attr_yaml_block,domain,entity_id,state
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home Assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversation,conversation.home_assistant,unknown
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/cb646a50_get/icon,,,,,,,,Get HACS,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.get_hacs,off
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/core_configurator/icon,,,,,,,,File editor,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.file_editor,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/core_matter_server/icon,,,,,,,,Matter Server,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.matter_server,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/core_samba/icon,,,,,,,,Samba share,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.samba_share,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/core_ssh/icon,,,,,,,,Terminal & SSH,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.terminal_ssh,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/core_vlc/icon,,,,,,,,VLC,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.vlc,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/a0d7b954_adguard/icon,,,,,,,,AdGuard Home,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.adguard_home,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/a0d7b954_appdaemon/icon,,,,,,,,AppDaemon,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.appdaemon,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/a0d7b954_grafana/icon,,,,,,,,Grafana,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.grafana,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/a0d7b954_influxdb/icon,,,,,,,,InfluxDB,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.influxdb,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/a0d7b954_logviewer/icon,,,,,,,,Log Viewer,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.log_viewer,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/a0d7b954_motioneye/icon,,,,,,,,motionEye,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.motioneye,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MQTT IO,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.mqtt_io,off
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/a0d7b954_nodered/icon,,,,,,,,Node-RED,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.node_red,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/a0d7b954_sabnzbd/icon,,,,,,,,SABnzbd,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.sabnzbd,on
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/api/hassio/addons/a0d7b954_spotify/icon,,,,,,,,Spotify Connect,,,,,,,,,,mdi:puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,switch,switch.spotify_connect,on
